Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
ABCA7 p.G215S as potential protective factor for Alzheimer's disease.,Sassi C.; Nalls MA.; Ridge PG.; Gibbs JR.; Ding J.; Lupton MK.; Troakes C.; Lunnon K.; Al-Sarraj S.; Brown KS.; Medway C.; Clement N.; Lord J.; Turton J.; Bras J.; Almeida MR.;  .; Holstege H.; Louwersheimer E.; van der Flier WM.; Scheltens P.; Van Swieten JC.; Santana I.; Oliveira C.; Morgan K.; Powell JF.; Kauwe JS.; Cruchaga C.; Goate AM.; Singleton AB.; Guerreiro R.; Hardy J.,"Genome-wide association studies (GWASs) have been effective approaches to dissect common genetic variability underlying complex diseases in a systematic and unbiased way. Recently, GWASs have led to the discovery of over 20 susceptibility loci for Alzheimer's disease (AD). Despite the evidence showing the contribution of these loci to AD pathogenesis, their genetic architecture has not been extensively investigated, leaving the possibility that low frequency and rare coding variants may also occur and contribute to the risk of disease. We have used exome and genome sequencing data to analyze the single independent and joint effect of rare and low-frequency protein coding variants in 9 AD GWAS loci with the strongest effect sizes after APOE (BIN1, CLU, CR1, PICALM, MS4A6A, ABCA7, EPHA1, CD33, and CD2AP) in a cohort of 332 sporadic AD cases and 676 elderly controls of British and North-American ancestry. We identified coding variability in ABCA7 as contributing to AD risk. This locus harbors a low-frequency coding variant (p.G215S, rs72973581, minor allele frequency = 4.3%) conferring a modest but statistically significant protection against AD (p-value = 0.024, odds ratio = 0.57, 95% confidence interval = 0.41-0.80). Notably, our results are not driven by an enrichment of loss of function variants in ABCA7, recently reported as main pathogenic factor underlying AD risk at this locus. In summary, our study confirms the role of ABCA7 in AD and provides new insights that should address functional studies.",2016,10,Neurobiology of aging,46,,235.e1-9,,10.1016/j.neurobiolaging.2016.04.004,27289440,#1508,Sassi 2016,"",""
Whole exome sequence-based association analyses of plasma amyloid-β in African and European Americans; the Atherosclerosis Risk in Communities-Neurocognitive Study.,Simino J.; Wang Z.; Bressler J.; Chouraki V.; Yang Q.; Younkin SG.; Seshadri S.; Fornage M.; Boerwinkle E.; Mosley TH.,"We performed single-variant and gene-based association analyses of plasma amyloid-β (aβ) concentrations using whole exome sequence from 1,414 African and European Americans. Our goal was to identify genes that influence plasma aβ42 concentrations and aβ42:aβ40 ratios in late middle age (mean = 59 years), old age (mean = 77 years), or change over time (mean = 18 years). Plasma aβ measures were linearly regressed onto age, gender, APOE ε4 carrier status, and time elapsed between visits (fold-changes only) separately by race. Following inverse normal transformation of the residuals, seqMeta was used to conduct race-specific single-variant and gene-based association tests while adjusting for population structure. Linear regression models were fit on autosomal variants with minor allele frequencies (MAF)≥1%. T5 burden and Sequence Kernel Association (SKAT) gene-based tests assessed functional variants with MAF≤5%. Cross-race fixed effects meta-analyses were Bonferroni-corrected for the number of variants or genes tested. Seven genes were associated with aβ in late middle age or change over time; no associations were identified in old age. Single variants in KLKB1 (rs3733402; p = 4.33x10-10) and F12 (rs1801020; p = 3.89x10-8) were significantly associated with midlife aβ42 levels through cross-race meta-analysis; the KLKB1 variant replicated internally using 1,014 additional participants with exome chip. ITPRIP, PLIN2, and TSPAN18 were associated with the midlife aβ42:aβ40 ratio via the T5 test; TSPAN18 was significant via the cross-race meta-analysis, whereas ITPRIP and PLIN2 were European American-specific. NCOA1 and NT5C3B were associated with the midlife aβ42:aβ40 ratio and the fold-change in aβ42, respectively, via SKAT in African Americans. No associations replicated externally (N = 725). We discovered age-dependent genetic effects, established associations between vascular-related genes (KLKB1, F12, PLIN2) and midlife plasma aβ levels, and identified a plausible Alzheimer's Disease candidate gene (ITPRIP) influencing cell death. Plasma aβ concentrations may have dynamic biological determinants across the lifespan; plasma aβ study designs or analyses must consider age.",2017,,PloS one,12,7,e0180046,,10.1371/journal.pone.0180046,28704393,#1518,Simino 2017,"",""
Knowledge-driven binning approach for rare variant association analysis: application to neuroimaging biomarkers in Alzheimer's disease.,Kim D.; Basile AO.; Bang L.; Horgusluoglu E.; Lee S.; Ritchie MD.; Saykin AJ.; Nho K.,"Rapid advancement of next generation sequencing technologies such as whole genome sequencing (WGS) has facilitated the search for genetic factors that influence disease risk in the field of human genetics. To identify rare variants associated with human diseases or traits, an efficient genome-wide binning approach is needed. In this study we developed a novel biological knowledge-based binning approach for rare-variant association analysis and then applied the approach to structural neuroimaging endophenotypes related to late-onset Alzheimer's disease (LOAD). For rare-variant analysis, we used the knowledge-driven binning approach implemented in Bin-KAT, an automated tool, that provides 1) binning/collapsing methods for multi-level variant aggregation with a flexible, biologically informed binning strategy and 2) an option of performing unified collapsing and statistical rare variant analyses in one tool. A total of 750 non-Hispanic Caucasian participants from the Alzheimer's Disease Neuroimaging Initiative (ADNI) cohort who had both WGS data and magnetic resonance imaging (MRI) scans were used in this study. Mean bilateral cortical thickness of the entorhinal cortex extracted from MRI scans was used as an AD-related neuroimaging endophenotype. SKAT was used for a genome-wide gene- and region-based association analysis of rare variants (MAF (minor allele frequency) < 0.05) and potential confounding factors (age, gender, years of education, intracranial volume (ICV) and MRI field strength) for entorhinal cortex thickness were used as covariates. Significant associations were determined using FDR adjustment for multiple comparisons. Our knowledge-driven binning approach identified 16 functional exonic rare variants in FANCC significantly associated with entorhinal cortex thickness (FDR-corrected p-value < 0.05). In addition, the approach identified 7 evolutionary conserved regions, which were mapped to FAF1, RFX7, LYPLAL1 and GOLGA3, significantly associated with entorhinal cortex thickness (FDR-corrected p-value < 0.05). In further analysis, the functional exonic rare variants in FANCC were also significantly associated with hippocampal volume and cerebrospinal fluid (CSF) Aβ1-42 (p-value < 0.05). Our novel binning approach identified rare variants in FANCC as well as 7 evolutionary conserved regions significantly associated with a LOAD-related neuroimaging endophenotype. FANCC (fanconi anemia complementation group C) has been shown to modulate TLR and p38 MAPK-dependent expression of IL-1β in macrophages. Our results warrant further investigation in a larger independent cohort and demonstrate that the biological knowledge-driven binning approach is a powerful strategy to identify rare variants associated with AD and other complex disease.",2017,May,BMC medical informatics and decision making,17,Suppl 1,61,,10.1186/s12911-017-0454-0,28539126,#1517,Kim 2017,"",""
Mutations in TYROBP are not a common cause of dementia in a Turkish cohort.,Darwent L.; Carmona S.; Lohmann E.; Guven G.; Kun-Rodrigues C.; Bilgic B.; Hanagasi H.; Gurvit H.; Erginel-Unaltuna N.; Pak M.; Hardy J.; Singleton A.; Brás J.; Guerreiro R.,"Mutations in TYROBP and TREM2 have been shown to cause polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy. Recently, variants in TREM2 were also associated with frontotemporal dementia and Alzheimer's disease. Given the functional proximity between these 2 genes, we investigated the genetic variation of TYROBP in a Turkish cohort of 103 dementia patients. No mutations or copy number variants predicted to be pathogenic were identified. These results indicate that mutations in TYROBP are not a common cause of dementia in this Turkish cohort.",2017,10,Neurobiology of aging,58,,240.e1-240.e3,,10.1016/j.neurobiolaging.2017.06.019,28716534,#1520,Darwent 2017,"",""
Human whole genome genotype and transcriptome data for Alzheimer's and other neurodegenerative diseases.,Allen M.; Carrasquillo MM.; Funk C.; Heavner BD.; Zou F.; Younkin CS.; Burgess JD.; Chai HS.; Crook J.; Eddy JA.; Li H.; Logsdon B.; Peters MA.; Dang KK.; Wang X.; Serie D.; Wang C.; Nguyen T.; Lincoln S.; Malphrus K.; Bisceglio G.; Li M.; Golde TE.; Mangravite LM.; Asmann Y.; Price ND.; Petersen RC.; Graff-Radford NR.; Dickson DW.; Younkin SG.; Ertekin-Taner N.,"Previous genome-wide association studies (GWAS), conducted by our group and others, have identified loci that harbor risk variants for neurodegenerative diseases, including Alzheimer's disease (AD). Human disease variants are enriched for polymorphisms that affect gene expression, including some that are known to associate with expression changes in the brain. Postulating that many variants confer risk to neurodegenerative disease via transcriptional regulatory mechanisms, we have analyzed gene expression levels in the brain tissue of subjects with AD and related diseases. Herein, we describe our collective datasets comprised of GWAS data from 2,099 subjects; microarray gene expression data from 773 brain samples, 186 of which also have RNAseq; and an independent cohort of 556 brain samples with RNAseq. We expect that these datasets, which are available to all qualified researchers, will enable investigators to explore and identify transcriptional mechanisms contributing to neurodegenerative diseases.",2016,Oct,Scientific data,3,,160089,,10.1038/sdata.2016.89,27727239,#1511,Allen 2016,"",""
Genetic loci associated with Alzheimer's disease.,Reitz C.,"The article by Lambert et al. reports the identification of 11 novel susceptibility loci for late-onset Alzheimer's disease. The observations of this study significantly enhance the field since they further disentangle the genetic causes and pathways underlying Alzheimer's disease by identifying novel disease-associated variants clustering in specific pathways. These pathways include APP processing, lipid metabolism, inflammation/immune response, intracellular trafficking/endocytosis, tau metabolism, synaptic function. All of the newly identified disease-associated variants have small effect sizes with increases in risk of 10-20%. The cumulative population attributable fraction associated with known genetic variants amounts now to approximately 80%. This article also underlines the ongoing value of genome-wide association studies for identification of causative common variants in the era of whole-exome and whole-genome sequencing studies.",2014,Mar,Future neurology,9,2,119-122,,10.2217/fnl.14.1,25530720,#1493,Reitz 2014,"",""
Whole-exome sequencing and imaging genetics identify functional variants for rate of change in hippocampal volume in mild cognitive impairment.,Nho K.; Corneveaux JJ.; Kim S.; Lin H.; Risacher SL.; Shen L.; Swaminathan S.; Ramanan VK.; Liu Y.; Foroud T.; Inlow MH.; Siniard AL.; Reiman RA.; Aisen PS.; Petersen RC.; Green RC.; Jack CR.; Weiner MW.; Baldwin CT.; Lunetta K.; Farrer LA.;  .; Furney SJ.; Lovestone S.; Simmons A.; Mecocci P.; Vellas B.; Tsolaki M.; Kloszewska I.; Soininen H.;  .; McDonald BC.; Farlow MR.; Ghetti B.;  .; Huentelman MJ.; Saykin AJ.;  .,"Whole-exome sequencing of individuals with mild cognitive impairment, combined with genotype imputation, was used to identify coding variants other than the apolipoprotein E (APOE) ε4 allele associated with rate of hippocampal volume loss using an extreme trait design. Matched unrelated APOE ε3 homozygous male Caucasian participants from the Alzheimer's Disease Neuroimaging Initiative (ADNI) were selected at the extremes of the 2-year longitudinal change distribution of hippocampal volume (eight subjects with rapid rates of atrophy and eight with slow/stable rates of atrophy). We identified 57 non-synonymous single nucleotide variants (SNVs) which were found exclusively in at least 4 of 8 subjects in the rapid atrophy group, but not in any of the 8 subjects in the slow atrophy group. Among these SNVs, the variants that accounted for the greatest group difference and were predicted in silico as 'probably damaging' missense variants were rs9610775 (CARD10) and rs1136410 (PARP1). To further investigate and extend the exome findings in a larger sample, we conducted quantitative trait analysis including whole-brain search in the remaining ADNI APOE ε3/ε3 group (N=315). Genetic variation within PARP1 and CARD10 was associated with rate of hippocampal neurodegeneration in APOE ε3/ε3. Meta-analysis across five independent cross sectional cohorts indicated that rs1136410 is also significantly associated with hippocampal volume in APOE ε3/ε3 individuals (N=923). Larger sequencing studies and longitudinal follow-up are needed for confirmation. The combination of next-generation sequencing and quantitative imaging phenotypes holds significant promise for discovery of variants involved in neurodegeneration.",2013,Jul,Molecular psychiatry,18,7,781-7,,10.1038/mp.2013.24,23608917,#1483,Nho 2013,"",""
"The Mount Sinai cohort of large-scale genomic, transcriptomic and proteomic data in Alzheimer's disease.",Wang M.; Beckmann ND.; Roussos P.; Wang E.; Zhou X.; Wang Q.; Ming C.; Neff R.; Ma W.; Fullard JF.; Hauberg ME.; Bendl J.; Peters MA.; Logsdon B.; Wang P.; Mahajan M.; Mangravite LM.; Dammer EB.; Duong DM.; Lah JJ.; Seyfried NT.; Levey AI.; Buxbaum JD.; Ehrlich M.; Gandy S.; Katsel P.; Haroutunian V.; Schadt E.; Zhang B.,"Alzheimer's disease (AD) affects half the US population over the age of 85 and is universally fatal following an average course of 10 years of progressive cognitive disability. Genetic and genome-wide association studies (GWAS) have identified about 33 risk factor genes for common, late-onset AD (LOAD), but these risk loci fail to account for the majority of affected cases and can neither provide clinically meaningful prediction of development of AD nor offer actionable mechanisms. This cohort study generated large-scale matched multi-Omics data in AD and control brains for exploring novel molecular underpinnings of AD. Specifically, we generated whole genome sequencing, whole exome sequencing, transcriptome sequencing and proteome profiling data from multiple regions of 364 postmortem control, mild cognitive impaired (MCI) and AD brains with rich clinical and pathophysiological data. All the data went through rigorous quality control. Both the raw and processed data are publicly available through the Synapse software platform.",2018,09,Scientific data,5,,180185,,10.1038/sdata.2018.185,30204156,#1538,Wang 2018,"",""
Smooth-Threshold Multivariate Genetic Prediction with Unbiased Model Selection.,Ueki M.; Tamiya G.;  .,"We develop a new genetic prediction method, smooth-threshold multivariate genetic prediction, using single nucleotide polymorphisms (SNPs) data in genome-wide association studies (GWASs). Our method consists of two stages. At the first stage, unlike the usual discontinuous SNP screening as used in the gene score method, our method continuously screens SNPs based on the output from standard univariate analysis for marginal association of each SNP. At the second stage, the predictive model is built by a generalized ridge regression simultaneously using the screened SNPs with SNP weight determined by the strength of marginal association. Continuous SNP screening by the smooth thresholding not only makes prediction stable but also leads to a closed form expression of generalized degrees of freedom (GDF). The GDF leads to the Stein's unbiased risk estimation (SURE), which enables data-dependent choice of optimal SNP screening cutoff without using cross-validation. Our method is very rapid because computationally expensive genome-wide scan is required only once in contrast to the penalized regression methods including lasso and elastic net. Simulation studies that mimic real GWAS data with quantitative and binary traits demonstrate that the proposed method outperforms the gene score method and genomic best linear unbiased prediction (GBLUP), and also shows comparable or sometimes improved performance with the lasso and elastic net being known to have good predictive ability but with heavy computational cost. Application to whole-genome sequencing (WGS) data from the Alzheimer's Disease Neuroimaging Initiative (ADNI) exhibits that the proposed method shows higher predictive power than the gene score and GBLUP methods.",2016,Apr,Genetic epidemiology,40,3,233-43,,10.1002/gepi.21958,26947266,#1504,Ueki 2016,"",""
FVGWAS: Fast voxelwise genome wide association analysis of large-scale imaging genetic data.,Huang M.; Nichols T.; Huang C.; Yu Y.; Lu Z.; Knickmeyer RC.; Feng Q.; Zhu H.;  .,"More and more large-scale imaging genetic studies are being widely conducted to collect a rich set of imaging, genetic, and clinical data to detect putative genes for complexly inherited neuropsychiatric and neurodegenerative disorders. Several major big-data challenges arise from testing genome-wide (NC>12 million known variants) associations with signals at millions of locations (NV~10(6)) in the brain from thousands of subjects (n~10(3)). The aim of this paper is to develop a Fast Voxelwise Genome Wide Association analysiS (FVGWAS) framework to efficiently carry out whole-genome analyses of whole-brain data. FVGWAS consists of three components including a heteroscedastic linear model, a global sure independence screening (GSIS) procedure, and a detection procedure based on wild bootstrap methods. Specifically, for standard linear association, the computational complexity is O (nNVNC) for voxelwise genome wide association analysis (VGWAS) method compared with O ((NC+NV)n(2)) for FVGWAS. Simulation studies show that FVGWAS is an efficient method of searching sparse signals in an extremely large search space, while controlling for the family-wise error rate. Finally, we have successfully applied FVGWAS to a large-scale imaging genetic data analysis of ADNI data with 708 subjects, 193,275voxels in RAVENS maps, and 501,584 SNPs, and the total processing time was 203,645s for a single CPU. Our FVGWAS may be a valuable statistical toolbox for large-scale imaging genetic analysis as the field is rapidly advancing with ultra-high-resolution imaging and whole-genome sequencing.",2015,Sep,NeuroImage,118,,613-27,,10.1016/j.neuroimage.2015.05.043,26025292,#1497,Huang 2015,"",""
Copy number variants encompassing Mendelian disease genes in a large multigenerational family segregating bipolar disorder.,Kember RL.; Georgi B.; Bailey-Wilson JE.; Stambolian D.; Paul SM.; Bućan M.,"Bipolar affective disorder (BP) is a common, highly heritable psychiatric disorder characterized by periods of depression and mania. Using dense SNP genotype data, we characterized CNVs in 388 members of an Old Order Amish Pedigree with bipolar disorder. We identified CNV regions arising from common ancestral mutations by utilizing the pedigree information. By combining this analysis with whole genome sequence data in the same individuals, we also explored the role of compound heterozygosity. Here we describe 541 inherited CNV regions, of which 268 are rare in a control population of European origin but present in a large number of Amish individuals. In addition, we highlight a set of CNVs found at higher frequencies in BP individuals, and within genes known to play a role in human development and disease. As in prior reports, we find no evidence for an increased burden of CNVs in BP individuals, but we report a trend towards a higher burden of CNVs in known Mendelian disease loci in bipolar individuals (BPI and BPII, p = 0.06). We conclude that CNVs may be contributing factors in the phenotypic presentation of mood disorders and co-morbid medical conditions in this family. These results reinforce the hypothesis of a complex genetic architecture underlying BP disorder, and suggest that the role of CNVs should continue to be investigated in BP data sets.",2015,Mar,BMC genetics,16,,27,,10.1186/s12863-015-0184-1,25887117,#1496,Kember 2015,"",""
Single-nucleotide polymorphisms are associated with cognitive decline at Alzheimer's disease conversion within mild cognitive impairment patients.,Lee E.; Giovanello KS.; Saykin AJ.; Xie F.; Kong D.; Wang Y.; Yang L.; Ibrahim JG.; Doraiswamy PM.; Zhu H.,"The growing public threat of Alzheimer's disease (AD) has raised the urgency to quantify the degree of cognitive decline during the conversion process of mild cognitive impairment (MCI) to AD and its underlying genetic pathway. The aim of this article was to test genetic common variants associated with accelerated cognitive decline after the conversion of MCI to AD. In 583 subjects with MCI enrolled in the Alzheimer's Disease Neuroimaging Initiative (ADNI; ADNI-1, ADNI-Go, and ADNI-2), 245 MCI participants converted to AD at follow-up. We tested the interaction effects between individual single-nucleotide polymorphisms and AD diagnosis trajectory on the longitudinal Alzheimer's Disease Assessment Scale-Cognition scores. Our findings reveal six genes, including BDH1, ST6GAL1, RAB20, PDS5B, ADARB2, and SPSB1, which are directly or indirectly related to MCI conversion to AD. This genome-wide association study sheds light on a genetic mechanism of longitudinal cognitive changes during the transition period from MCI to AD.",2017,,"Alzheimer's & dementia (Amsterdam, Netherlands)",8,,86-95,,10.1016/j.dadm.2017.04.004,28560309,#1445,Lee 2017,"",""
Genetic Variation in Genes Underlying Diverse Dementias May Explain a Small Proportion of Cases in the Alzheimer's Disease Sequencing Project.,Blue EE.; Bis JC.; Dorschner MO.; Tsuang DW.; Barral SM.; Beecham G.; Below JE.; Bush WS.; Butkiewicz M.; Cruchaga C.; DeStefano A.; Farrer LA.; Goate A.; Haines J.; Jaworski J.; Jun G.; Kunkle B.; Kuzma A.; Lee JJ.; Lunetta KL.; Ma Y.; Martin E.; Naj A.; Nato AQ.; Navas P.; Nguyen H.; Reitz C.; Reyes D.; Salerno W.; Schellenberg GD.; Seshadri S.; Sohi H.; Thornton TA.; Valadares O.; van Duijn C.; Vardarajan BN.; Wang LS.; Boerwinkle E.; Dupuis J.; Pericak-Vance MA.; Mayeux R.; Wijsman EM.;  .,"The Alzheimer's Disease Sequencing Project (ADSP) aims to identify novel genes influencing Alzheimer's disease (AD). Variants within genes known to cause dementias other than AD have previously been associated with AD risk. We describe evidence of co-segregation and associations between variants in dementia genes and clinically diagnosed AD within the ADSP. We summarize the properties of known pathogenic variants within dementia genes, describe the co-segregation of variants annotated as ""pathogenic"" in ClinVar and new candidates observed in ADSP families, and test for associations between rare variants in dementia genes in the ADSP case-control study. The participants were clinically evaluated for AD, and they represent European, Caribbean Hispanic, and isolate Dutch populations. Pathogenic variants in dementia genes were predominantly rare and conserved coding changes. Pathogenic variants within ARSA, CSF1R, and GRN were observed, and candidate variants in GRN and CHMP2B were nominated in ADSP families. An independent case-control study provided evidence of an association between variants in TREM2, APOE, ARSA, CSF1R, PSEN1, and MAPT and risk of AD. Variants in genes which cause dementing disorders may influence the clinical diagnosis of AD in a small proportion of cases within the ADSP.",2018,,Dementia and geriatric cognitive disorders,45,1-2,1-17,,10.1159/000485503,29486463,#1460,Blue 2018,"",""
Rare genetic variation implicated in non-Hispanic white families with Alzheimer disease.,Beecham GW.; Vardarajan B.; Blue E.; Bush W.; Jaworski J.; Barral S.; DeStefano A.; Hamilton-Nelson K.; Kunkle B.; Martin ER.; Naj A.; Rajabli F.; Reitz C.; Thornton T.; van Duijn C.; Goate A.; Seshadri S.; Farrer LA.; Boerwinkle E.; Schellenberg G.; Haines JL.; Wijsman E.; Mayeux R.; Pericak-Vance MA.;  .,"To identify genetic variation influencing late-onset Alzheimer disease (LOAD), we used a large data set of non-Hispanic white (NHW) extended families multiply-affected by LOAD by performing whole genome sequencing (WGS). As part of the Alzheimer Disease Sequencing Project, WGS data were generated for 197 NHW participants from 42 families (affected individuals and unaffected, elderly relatives). A two-pronged approach was taken. First, variants were prioritized using heterogeneity logarithm of the odds (HLOD) and family-specific LOD scores as well as annotations based on function, frequency, and segregation with disease. Second, known Alzheimer disease (AD) candidate genes were assessed for rare variation using a family-based association test. We identified 41 rare, predicted-damaging variants that segregated with disease in the families that contributed to the HLOD or family-specific LOD regions. These included a variant in nitric oxide synthase 1 adaptor protein that segregates with disease in a family with 7 individuals with AD, as well as variants in RP11-433J8, ABCA1, and FISP2. Rare-variant association identified 2 LOAD candidate genes associated with disease in these families: FERMT2 (p-values = 0.001) and SLC24A4 (p-value = 0.009). These genes still showed association while controlling for common index variants, indicating the rare-variant signal is distinct from common variation that initially identified the genes as candidates. We identified multiple genes with putative damaging rare variants that segregate with disease in multiplex AD families and showed that rare variation may influence AD risk at AD candidate genes. These results identify novel AD candidate genes and show a role for rare variation in LOAD etiology, even at genes previously identified by common variation.",2018,Dec,Neurology. Genetics,4,6,e286,,10.1212/NXG.0000000000000286,30569016,#1466,Beecham 2018,"",""
A potential endophenotype for Alzheimer's disease: cerebrospinal fluid clusterin.,Deming Y.; Xia J.; Cai Y.; Lord J.; Holmans P.; Bertelsen S.; Holtzman D.; Morris JC.; Bales K.; Pickering EH.; Kauwe J.; Goate A.; Cruchaga C.;  .,"Genome-wide association studies have associated clusterin (CLU) variants with Alzheimer's disease (AD). However, the role of CLU on AD pathogenesis is not totally understood. We used cerebrospinal fluid (CSF) and plasma CLU levels as endophenotypes for genetic studies to understand the role of CLU in AD. CSF, but not plasma, CLU levels were significantly associated with AD status and CSF tau/amyloid-beta ratio, and highly correlated with CSF apolipoprotein E (APOE) levels. Several loci showed almost genome-wide significant associations including LINC00917 (p = 3.98 × 10(-7)) and interleukin 6 (IL6, p = 9.94 × 10(-6), in the entire data set and in the APOE ε4- individuals p = 7.40 × 10(-8)). Gene ontology analyses suggest that CSF CLU levels may be associated with wound healing and immune response which supports previous functional studies that demonstrated an association between CLU and IL6. CLU may play a role in AD by influencing immune system changes that have been observed in AD or by disrupting healing after neurodegeneration.",2016,Jan,Neurobiology of aging,37,,208.e1-208.e9,,10.1016/j.neurobiolaging.2015.09.009,26545630,#1440,Deming 2016,"",""
Genetic risk factors for the posterior cortical atrophy variant of Alzheimer's disease.,Schott JM.; Crutch SJ.; Carrasquillo MM.; Uphill J.; Shakespeare TJ.; Ryan NS.; Yong KX.; Lehmann M.; Ertekin-Taner N.; Graff-Radford NR.; Boeve BF.; Murray ME.; Khan QU.; Petersen RC.; Dickson DW.; Knopman DS.; Rabinovici GD.; Miller BL.; González AS.; Gil-Néciga E.; Snowden JS.; Harris J.; Pickering-Brown SM.; Louwersheimer E.; van der Flier WM.; Scheltens P.; Pijnenburg YA.; Galasko D.; Sarazin M.; Dubois B.; Magnin E.; Galimberti D.; Scarpini E.; Cappa SF.; Hodges JR.; Halliday GM.; Bartley L.; Carrillo MC.; Bras JT.; Hardy J.; Rossor MN.; Collinge J.; Fox NC.; Mead S.,"The genetics underlying posterior cortical atrophy (PCA), typically a rare variant of Alzheimer's disease (AD), remain uncertain. We genotyped 302 PCA patients from 11 centers, calculated risk at 24 loci for AD/DLB and performed an exploratory genome-wide association study. We confirm that variation in/near APOE/TOMM40 (P = 6 × 10(-14)) alters PCA risk, but with smaller effect than for typical AD (PCA: odds ratio [OR] = 2.03, typical AD: OR = 2.83, P = .0007). We found evidence for risk in/near CR1 (P = 7 × 10(-4)), ABCA7 (P = .02) and BIN1 (P = .04). ORs at variants near INPP5D and NME8 did not overlap between PCA and typical AD. Exploratory genome-wide association studies confirmed APOE and identified three novel loci: rs76854344 near CNTNAP5 (P = 8 × 10(-10) OR = 1.9 [1.5-2.3]); rs72907046 near FAM46A (P = 1 × 10(-9) OR = 3.2 [2.1-4.9]); and rs2525776 near SEMA3C (P = 1 × 10(-8), OR = 3.3 [2.1-5.1]). We provide evidence for genetic risk factors specifically related to PCA. We identify three candidate loci that, if replicated, may provide insights into selective vulnerability and phenotypic diversity in AD.",2016,08,Alzheimer's & dementia : the journal of the Alzheimer's Association,12,8,862-71,,10.1016/j.jalz.2016.01.010,26993346,#1442,Schott 2016,"",""
Whole genome sequencing of Caribbean Hispanic families with late-onset Alzheimer's disease.,Vardarajan BN.; Barral S.; Jaworski J.; Beecham GW.; Blue E.; Tosto G.; Reyes-Dumeyer D.; Medrano M.; Lantigua R.; Naj A.; Thornton T.; DeStefano A.; Martin E.; Wang LS.; Brown L.; Bush W.; van Duijn C.; Goate A.; Farrer L.; Haines JL.; Boerwinkle E.; Schellenberg G.; Wijsman E.; Pericak-Vance MA.; Mayeux R.;  .; Wang LS.,"To identify rare causal variants underlying known loci that segregate with late-onset Alzheimer's disease (LOAD) in multiplex families. We analyzed whole genome sequences (WGS) from 351 members of 67 Caribbean Hispanic (CH) families from Dominican Republic and New York multiply affected by LOAD. Members of 67 CH and additional 47 Caucasian families underwent WGS as a part of the Alzheimer's Disease Sequencing Project (ADSP). All members of 67 CH families, an additional 48 CH families and an independent CH case-control cohort were subsequently genotyped for validation. Patients met criteria for LOAD, and controls were determined to be dementia free. We investigated rare variants segregating within families and gene-based associations with disease within LOAD GWAS loci. A variant in AKAP9, p.R434W, segregated significantly with LOAD in two large families (OR = 5.77, 95% CI: 1.07-30.9, P = 0.041). In addition, missense mutations in MYRF and ASRGL1 under previously reported linkage peaks at 7q14.3 and 11q12.3 segregated completely in one family and in follow-up genotyping both were nominally significant (P < 0.05). We also identified rare variants in a number of genes associated with LOAD in prior genome wide association studies, including CR1 (P = 0.049), BIN1 (P = 0.0098) and SLC24A4 (P = 0.040). Rare variants in multiple genes influence the risk of LOAD disease in multiplex families. These results suggest that rare variants may underlie loci identified in genome wide association studies.",2018,Apr,Annals of clinical and translational neurology,5,4,406-417,,10.1002/acn3.537,29688227,#1461,Vardarajan 2018,"",""
Quality control and integration of genotypes from two calling pipelines for whole genome sequence data in the Alzheimer's disease sequencing project.,Naj AC.; Lin H.; Vardarajan BN.; White S.; Lancour D.; Ma Y.; Schmidt M.; Sun F.; Butkiewicz M.; Bush WS.; Kunkle BW.; Malamon J.; Amin N.; Choi SH.; Hamilton-Nelson KL.; van der Lee SJ.; Gupta N.; Koboldt DC.; Saad M.; Wang B.; Nato AQ.; Sohi HK.; Kuzma A.;  .; Wang LS.; Cupples LA.; van Duijn C.; Seshadri S.; Schellenberg GD.; Boerwinkle E.; Bis JC.; Dupuis J.; Salerno WJ.; Wijsman EM.; Martin ER.; DeStefano AL.,"The Alzheimer's Disease Sequencing Project (ADSP) performed whole genome sequencing (WGS) of 584 subjects from 111 multiplex families at three sequencing centers. Genotype calling of single nucleotide variants (SNVs) and insertion-deletion variants (indels) was performed centrally using GATK-HaplotypeCaller and Atlas V2. The ADSP Quality Control (QC) Working Group applied QC protocols to project-level variant call format files (VCFs) from each pipeline, and developed and implemented a novel protocol, termed ""consensus calling,"" to combine genotype calls from both pipelines into a single high-quality set. QC was applied to autosomal bi-allelic SNVs and indels, and included pipeline-recommended QC filters, variant-level QC, and sample-level QC. Low-quality variants or genotypes were excluded, and sample outliers were noted. Quality was assessed by examining Mendelian inconsistencies (MIs) among 67 parent-offspring pairs, and MIs were used to establish additional genotype-specific filters for GATK calls. After QC, 578 subjects remained. Pipeline-specific QC excluded ~12.0% of GATK and 14.5% of Atlas SNVs. Between pipelines, ~91% of SNV genotypes across all QCed variants were concordant; 4.23% and 4.56% of genotypes were exclusive to Atlas or GATK, respectively; the remaining ~0.01% of discordant genotypes were excluded. For indels, variant-level QC excluded ~36.8% of GATK and 35.3% of Atlas indels. Between pipelines, ~55.6% of indel genotypes were concordant; while 10.3% and 28.3% were exclusive to Atlas or GATK, respectively; and ~0.29% of discordant genotypes were. The final WGS consensus dataset contains 27,896,774 SNVs and 3,133,926 indels and is publicly available.",2019,07,Genomics,111,4,808-818,,10.1016/j.ygeno.2018.05.004,29857119,#1462,Naj 2019,"",""
